11,1,Funds contributed directly to candidate campaigns are called soft money.,True (Incorrect),False (Correct)
11,2,Issues that cut across party lines and that can be used by candidates to attract voters who affiliate with the opposition party are known as wedge issues.,True (Correct),False
12,10,Which of the following is a key difference between the Senate and the House of Representatives?,The number of members in the Senate Vary every year whereas the number of members in the House remains constant. (Incorrect),The Senate does not rely heavily on hierarchy whereas the House is heavily dependent on hierarchy. (Correct),The Senate is more rule-bound and operates more systematically and predictably than the House of Representatives.,Members of the House serve long terms and get to know their colleagues better than the senators.,"Unlike the senators, the members of the House can pursue a fast track to leadership and have increased public visibility early in their careers."
12,11,Party votes occur when a majority of members of one party votes against a majority of members of the opposing party on major legislation.,True (Correct),False
12,12,Which of the following is a major function of a party review committee?,Raising funds for elections (Incorrect),Advising government on forming legislations,Conducting election research,Organizing party volunteers,Recommending changes in party organization (Correct)
12,13,Pork barrel spending refers to _____.,spending on projects that benefit only a few districts (Correct),the spending that is not for developmental purposes,huge spending on issues that are not beneficial to the public,using illegal means of funding for a public activity,using public money for illegal projects and activities
12,14,Leaders from each party who coordinate legislative initiatives are called _____.,legislative leaders (Incorrect),party speakers,floor leaders (Correct),party whips,opinion leaders
12,15,Whips are _____.,neutral members who control proceedings in the House (Incorrect),the top-ranked members of the House and the Senate,presiding officers of the House and the Senate,members who promote party unity in voting (Correct),members with significant power to control the legislative agenda
12,16,Which of the following is a valid observation about the Speaker of the House?,The Speaker is first in succession to the presidency. (Incorrect),The Speaker’s primary duties include initiating bills in the House.,The Speaker cannot control the legislative agenda in the House.,The Speaker is not authorized to sign the bills passed by the House.,The Speaker of the House is at the top of the leadership hierarchy. (Correct)
12,17,The House majority leader _____.,is the only officer of the House mentioned specifically in the Constitution (Incorrect),appoints members to select and conference committees,is second to the Speaker in the majority party hierarchy (Correct),is second in succession to the presidency,appoints members of the Rules Committee who can be relied on to do his or her bidding
12,18,The head of the party with the fewest members in the House who conveys the minority party’s positions on issues and courts the press is called the _____.,House minority leader (Correct),Major floor leader,Leader of opposition,Chief whip,Opinion leader
12,19,Who convenes the floor action in the Senate?,The presiding officer (Correct),Senate majority leader,President pro tempore,The Speaker,Attorney General
12,20,Who is the second-highest ranking member of the Senate after the vice president?,Senate majority leader (Incorrect),Secretary of the Interior,The Speaker,President pro tempore (Correct),Attorney General
12,21,_____ is responsible for managing the Senate’s business and managing the floor.,Secretary of the Interior (Incorrect),The Presiding officer,Senate majority leader,Attorney General,President pro tempore (Correct)
12,22,Congressional committees do not conduct investigations publically.,True (Incorrect),False (Correct)
12,23,Which of the following terms refer to the permanent legislative committees in the House and Senate?,Standing committees (Correct),Select committees,Limit committees,Special committees,Supreme committees
12,24,_____ committees are composed of members of the House and Senate and handle matters that require joint jurisdiction.,Judicial (Incorrect),Standing,Select,Special,Joint (Correct)
12,25,"In the House, bills must go the Rules Committee before reaching the floor.",True (Correct),False
12,26,The docket refers to the _____.,list of legislations that control the congress (Incorrect),schedule outlining the congressional workload. (Correct),legislative agenda used for governance,list of powers that the secretaries of state possess,bills that establish the level of funding for a program.
12,27,Authorization bills are bills that _____.,provide the funding for a department (Incorrect),are passed without the approval of the president,establish the level of funding for a program (Correct),provide the funding for an agency program,are initiated by the presiding officer of the senate
12,28,A member of Congress who actively seeks press attention is called a work force.,True (Incorrect),False (Correct)
12,29,A show horse is a member of congress who _____.,introduce a private bill in the Congress (Incorrect),actively seek press attention (Correct),works behind the scenes,gets a resolution passed in Congress,initiates a bill in the Congress
12,30,Which of the following refers to the ability of Congress members to post mail without cost?,Constituent privilege (Incorrect),Cloture privilege,Franking privilege (Correct),Filibuster privilege,Sponsored privilege
12,31,Tactics used by members to work behind the scenes in Congress to forge coalitions while avoiding press scrutiny are called outsider strategies.,True (Incorrect),False (Correct)
12,32,What are sunshine laws?,Laws that are passed by the congress and vetoed by the president (Incorrect),Laws that are passed by the congress with the approval from the president,Laws that are formed to favor governmental policies,Laws passed by Congress to open hearings to the public and the press (Correct),Laws that are used by the congress when ruling on policy issues
12,33,Which of the following refers to the tactics used by members to work behind the scenes in Congress to forge coalitions while avoiding press scrutiny?,Lobbying strategies (Incorrect),Influence strategies,Outsider strategies,Nominal strategies,Insider strategies (Correct)
